name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
PySchelling/Lollipop/CS=50/PL=450,10,34.048168,34.044990,ms,,29.370156,,,
PySchelling/Lollipop/CS=100/PL=900,10,226.786921,226.780575,ms,,4.409425,,,
PySchelling/Lollipop/CS=150/PL=1350,10,706.835556,706.784389,ms,,1.414756,,,
PySchelling/Lollipop/CS=200/PL=1800,10,1551.996323,1551.979669,ms,,0.644331,,,
PySchelling/Lollipop/CS=250/PL=2250,10,3175.118139,3174.996334,ms,,0.314949,,,
PySchelling/Lollipop/CS=300/PL=2700,10,5129.894352,5129.663172,ms,,0.194936,,,
PySchelling/Lollipop/CS=350/PL=3150,10,8396.696995,8396.208271,ms,,0.119094,,,
